x	y
519.3547006	339.4582767
571.495499	515.9625605
622.191892	551.2745941
672.5312145	663.6223643
740.6070262	720.5595887
792.2552647	516.2565733
834.3959994	687.8928082
862.4540893	626.15584
917.2976941	476.4823482
970.4148499	656.2617626
1012.490212	704.4249943
1054.376442	725.5365878
1124.607297	866.3152697
1198.699171	762.4966636
1246.021627	746.1399127
1287.776159	600.5551645
1315.011603	793.4618966
1388.320807	643.9615735
1416.220914	889.25435
1498.452095	774.1194436
1535.757985	784.8081167
1567.421276	828.0511817
1633.642317	716.0160397
1664.271958	762.3361907
1737.928612	824.7157251
1799.956834	1073.470251
1827.863698	826.59918
1876.913729	898.7957306
1942.089027	1142.85241
1992.041835	1153.250482
2007.37007	913.6773604
2096.694572	1135.106283
2146.944038	1070.989683
2172.740245	938.7165716
2216.269025	1199.568421
2296.44783	1077.268066
2342.820012	1013.196312
2398.360098	969.5634886
2442.573791	1087.533191
2468.569619	1239.244942
2542.009008	1125.941218
2599.63399	1119.315265
2600.021582	1195.816324
2657.631733	1414.916407
2703.450582	1308.342379
2759.782742	1110.789056
2831.063147	1246.654845
2850.449506	1137.351503
2908.817069	1206.925221
2985.209763	1365.145412
3002.93716	1283.594067
3096.160105	1364.216661
3110.362865	1269.238816
3159.854826	1205.542223
3240.522529	1423.625459
3256.025999	1617.523303
3349.894504	1402.928202
3373.740839	1553.412604
3403.811314	1514.047806
3459.642149	1321.63442
903.8917056	502.8840278
